Ligand,score,RMSD
rec_7_mol0.sdf,7.52201,6.2795324557004335
rec_20_mol1.sdf,6.56019,4.774293213834553
rec_20_mol2.sdf,6.9409,0.7978029609781194
rec_20_mol3.sdf,7.36355,2.7436370411935913
rec_14_mol5.sdf,6.60673,4.489089292222688
rec_12_mol6.sdf,7.07284,3.0540289258162274
rec_16_mol8.sdf,6.90287,1.832479013378785
rec_20_mol9.sdf,6.96641,2.371383646614054
rec_20_mol10.sdf,7.40223,0.8311286891298704
rec_20_mol13.sdf,7.41816,1.8188601421885369
rec_20_mol14.sdf,7.26849,1.3818569475577103
rec_20_mol15.sdf,7.45983,1.4047477661768846
rec_20_mol17.sdf,7.00591,1.7188306242492728
rec_16_mol19.sdf,6.65607,3.362085808976784
rec_5_mol21.sdf,6.89947,1.047454412509544
rec_16_mol22.sdf,6.07285,1.1247008261459281
rec_20_mol23.sdf,6.89027,1.3066917555621351
rec_20_mol24.sdf,7.10883,1.691293400112221
rec_18_mol25.sdf,7.59207,6.096374635777399
rec_7_mol28.sdf,7.06031,5.828770554096953
rec_20_mol29.sdf,7.36038,2.2885235397634176
rec_20_mol30.sdf,7.79057,1.262856969894159
rec_20_mol31.sdf,7.63351,1.1201083430828926
rec_12_mol32.sdf,6.89597,1.242916254747595
rec_5_mol34.sdf,6.79913,0.849091703107335
rec_20_mol36.sdf,6.95712,2.3990537159471854
rec_20_mol38.sdf,7.52283,2.6154985671951727
rec_20_mol39.sdf,7.13728,1.5557339698216859
rec_20_mol40.sdf,7.26235,2.084947302725625
rec_20_mol41.sdf,7.10518,1.6409307761466552
rec_20_mol42.sdf,7.6905,0.7899986638896094
rec_20_mol43.sdf,7.23594,1.776192741433829
rec_20_mol45.sdf,7.15187,1.9885429076156673
rec_20_mol47.sdf,7.05091,0.7830413708641762
rec_16_mol48.sdf,5.70295,1.7889453160478448
rec_18_mol50.sdf,5.74601,1.2234079318556315
rec_15_mol51.sdf,7.66401,6.730436822677085
rec_20_mol52.sdf,7.52556,1.1971299227736312
rec_20_mol53.sdf,7.57309,2.085559658319342
rec_9_mol54.sdf,7.53531,6.215710364471627
rec_16_mol55.sdf,7.10983,5.203765629273842
rec_16_mol56.sdf,6.17079,2.127283541965355
rec_5_mol58.sdf,6.79423,0.828432079809288
rec_4_mol59.sdf,6.96395,1.2086721043497834
rec_18_mol60.sdf,5.74601,1.8779035866915774
rec_20_mol61.sdf,7.53349,2.3008551877243484
rec_20_mol62.sdf,7.42398,1.9603071526247051
rec_16_mol63.sdf,7.10982,5.180460291211924
rec_20_mol64.sdf,7.21531,1.2916653794617243
rec_20_mol65.sdf,6.72096,4.511570500521572
rec_7_mol66.sdf,6.03918,1.1388793586679846
rec_20_mol67.sdf,7.21173,3.0407236286432666
rec_20_mol68.sdf,6.80011,6.246691115782819
rec_7_mol69.sdf,7.19231,4.961944937764366
rec_18_mol70.sdf,6.75044,6.668513742013926
rec_20_mol71.sdf,7.11329,1.583009511206875
rec_20_mol72.sdf,7.21686,1.8309077299404133
rec_20_mol73.sdf,6.8793,1.0933039388991972
rec_20_mol74.sdf,7.11467,0.840718277112249
rec_20_mol76.sdf,7.09747,0.9061960397310516
rec_18_mol79.sdf,5.43535,0.8496681199150641
rec_20_mol80.sdf,7.32697,1.2462686659441797
rec_5_mol81.sdf,6.76161,0.887150458651583
rec_20_mol82.sdf,7.01049,0.64772905918883
rec_20_mol83.sdf,7.58147,1.295128978133066
rec_20_mol84.sdf,7.07799,1.7729954024595933
rec_16_mol86.sdf,7.55245,6.13862574335657
rec_20_mol87.sdf,7.42805,1.0296413716486563
rec_18_mol88.sdf,6.98228,2.861207393207358
rec_16_mol89.sdf,5.83829,1.0096182025894738
rec_20_mol90.sdf,7.24718,0.860989898656329
rec_20_mol93.sdf,6.92495,0.9453660385665437
rec_12_mol95.sdf,7.24743,5.821185591969547
rec_16_mol4.sdf,6.18484,0.7226006744963701
rec_5_mol7.sdf,5.25018,1.1180614593313307
rec_16_mol11.sdf,6.19337,3.4366129658117917
rec_20_mol12.sdf,5.75233,3.1898198392829857
rec_16_mol16.sdf,5.90011,3.491862318018854
rec_7_mol18.sdf,5.73493,3.4805830155784725
rec_12_mol20.sdf,7.24729,5.628150380537636
rec_16_mol26.sdf,6.15995,4.001052172311123
rec_16_mol27.sdf,5.77805,4.031693011130684
rec_18_mol33.sdf,5.80915,3.5140036250977316
rec_4_mol35.sdf,6.95039,4.926730684023963
rec_12_mol37.sdf,6.67186,5.018222481284251
rec_20_mol44.sdf,7.22555,2.0436219406182907
rec_20_mol46.sdf,7.36586,1.9156273176168688
rec_16_mol49.sdf,6.23944,3.698999635192446
rec_9_mol57.sdf,7.64641,5.5770157266453895
rec_20_mol75.sdf,7.03515,4.816457404895296
rec_4_mol77.sdf,6.92581,2.653084286317159
rec_20_mol85.sdf,7.09415,0.979874907532469
rec_11_mol91.sdf,6.89659,5.228457142323885
rec_14_mol92.sdf,6.29011,1.6851629206872727
rec_7_mol94.sdf,7.12958,5.404886270645397
rec_16_mol96.sdf,5.46582,1.4907996246676112
