N,percent
1,25.0
2,50.0
3,50.0
4,50.0
5,50.0
6,50.0
7,50.0
8,75.0
9,75.0
10,75.0
11,75.0
12,75.0
13,75.0
14,100.0
15,100.0
16,100.0
17,100.0
18,100.0
19,100.0
20,100.0
