mol_id,receptor_id,mean_dg,error,stats_path,ligand_sdf_path,mol_dir,rec_dir,rmsd,mean_dg_normalized,equil_rmsd_heavy,equil_ref_rmsd,equil_reason
mol11,rec_final_9,-15.965,1.909,output/abfe/mol11/rec_final_9/output/overall_stats.dat,input/poses/rec_9_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_9,3.436621754561967,-5.0236,1.9603710174560547,4.377478069112443,
mol11,rec_final_20,-15.013,3.051,output/abfe/mol11/rec_final_20/output/overall_stats.dat,input/poses/rec_20_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_20,4.121977980247208,-4.0716,1.6914246082305908,3.8986854760738527,
mol11,rec_final_19,-14.35,0.983,output/abfe/mol11/rec_final_19/output/overall_stats.dat,input/poses/rec_19_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_19,3.436382837426171,-3.4086,2.010125160217285,3.5411618302776686,
mol11,rec_final_16,-13.948,0.992,output/abfe/mol11/rec_final_16/output/overall_stats.dat,input/poses/rec_16_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_16,3.4366129658117908,-3.0066000000000006,1.5648962259292603,3.6397638924932125,
mol11,rec_final_13,-13.37,2.424,output/abfe/mol11/rec_final_13/output/overall_stats.dat,input/poses/rec_13_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_13,3.4348433326198236,-2.4285999999999994,1.0177301168441772,3.7280624325169742,
mol11,rec_final_15,-12.386,2.205,output/abfe/mol11/rec_final_15/output/overall_stats.dat,input/poses/rec_15_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_15,3.436551188276243,-1.4445999999999994,2.123114824295044,3.8383507517056388,
mol11,rec_final_4,-11.632,4.16,output/abfe/mol11/rec_final_4/output/overall_stats.dat,input/poses/rec_4_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_4,3.4356090058490985,-0.6905999999999999,1.384005069732666,3.3078580165359,
mol11,rec_final_5,-11.478,2.072,output/abfe/mol11/rec_final_5/output/overall_stats.dat,input/poses/rec_5_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_5,3.43663665184228,-0.5366,1.7156482934951782,3.1423545617130983,
mol11,rec_final_14,-11.039,1.494,output/abfe/mol11/rec_final_14/output/overall_stats.dat,input/poses/rec_14_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_14,3.436442628805467,-0.09759999999999991,1.8278568983078003,2.7956043418877115,
mol11,rec_final_11,-8.799,4.43,output/abfe/mol11/rec_final_11/output/overall_stats.dat,input/poses/rec_11_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_11,3.4365291831709674,2.1424000000000003,2.3153750896453857,5.052073591677424,
mol11,rec_final_2,-8.72,2.626,output/abfe/mol11/rec_final_2/output/overall_stats.dat,input/poses/rec_2_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_2,3.436395043968939,2.221399999999999,2.0596323013305664,3.218235037024854,
mol11,rec_final_6,-8.668,3.172,output/abfe/mol11/rec_final_6/output/overall_stats.dat,input/poses/rec_6_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_6,3.378080898284874,2.2734000000000005,2.190936803817749,3.372009111932469,
mol11,rec_final_18,-7.836,2.889,output/abfe/mol11/rec_final_18/output/overall_stats.dat,input/poses/rec_18_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_18,4.157809959023758,3.1053999999999995,2.6729345321655273,4.193543196434928,
mol11,rec_final_7,-6.557,2.994,output/abfe/mol11/rec_final_7/output/overall_stats.dat,input/poses/rec_7_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_7,4.231063031530695,4.384399999999999,1.9423680305480957,4.526617970675177,
mol11,rec_final_12,-4.36,1.898,output/abfe/mol11/rec_final_12/output/overall_stats.dat,input/poses/rec_12_mol11.sdf,output/abfe/mol11,output/abfe/mol11/rec_final_12,3.4365502685417373,6.5813999999999995,2.082350254058838,3.6247676134151194,
mol12,rec_final_19,-16.983,1.512,output/abfe/mol12/rec_final_19/output/overall_stats.dat,input/poses/rec_19_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_19,3.2690448373722254,-5.978733333333333,2.2621848583221436,2.453357938407326,
mol12,rec_final_6,-15.907,2.748,output/abfe/mol12/rec_final_6/output/overall_stats.dat,input/poses/rec_6_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_6,3.671852784868969,-4.902733333333332,2.202807903289795,4.321295517054146,
mol12,rec_final_9,-14.23,1.58,output/abfe/mol12/rec_final_9/output/overall_stats.dat,input/poses/rec_9_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_9,4.392160448695304,-3.2257333333333325,0.7946612238883972,4.457746848961008,
mol12,rec_final_13,-13.477,2.896,output/abfe/mol12/rec_final_13/output/overall_stats.dat,input/poses/rec_13_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_13,3.7228566169564825,-2.4727333333333323,1.0687662363052368,3.8500633814174363,
mol12,rec_final_4,-13.238,1.871,output/abfe/mol12/rec_final_4/output/overall_stats.dat,input/poses/rec_4_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_4,3.7072572822887992,-2.2337333333333316,1.4236974716186523,4.114801626733951,
mol12,rec_final_14,-12.091,3.345,output/abfe/mol12/rec_final_14/output/overall_stats.dat,input/poses/rec_14_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_14,4.392158166218896,-1.0867333333333313,1.5714850425720215,3.9184805145522197,
mol12,rec_final_18,-11.551,1.94,output/abfe/mol12/rec_final_18/output/overall_stats.dat,input/poses/rec_18_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_18,3.570985865100841,-0.5467333333333322,2.704277753829956,2.643715198476687,
mol12,rec_final_20,-11.312,0.947,output/abfe/mol12/rec_final_20/output/overall_stats.dat,input/poses/rec_20_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_20,3.189744222830936,-0.3077333333333314,1.1188145875930786,3.1325090828504485,
mol12,rec_final_5,-9.862,3.782,output/abfe/mol12/rec_final_5/output/overall_stats.dat,input/poses/rec_5_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_5,3.6986103582404204,1.1422666666666679,1.3050402402877808,4.588816267381429,
mol12,rec_final_15,-9.194,1.329,output/abfe/mol12/rec_final_15/output/overall_stats.dat,input/poses/rec_15_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_15,3.0470047271186393,1.8102666666666671,2.0818493366241455,1.9073833671414016,
mol12,rec_final_16,-8.691,2.461,output/abfe/mol12/rec_final_16/output/overall_stats.dat,input/poses/rec_16_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_16,3.0545007705160807,2.3132666666666672,2.3081483840942383,2.118035620120892,
mol12,rec_final_11,-8.592,3.046,output/abfe/mol12/rec_final_11/output/overall_stats.dat,input/poses/rec_11_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_11,3.700162785664526,2.4122666666666674,4.601663589477539,5.766902759598842,
mol12,rec_final_7,-8.504,3.672,output/abfe/mol12/rec_final_7/output/overall_stats.dat,input/poses/rec_7_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_7,3.2820550508916413,2.5002666666666684,1.3405245542526245,3.3268480780879974,
mol12,rec_final_2,-6.691,2.699,output/abfe/mol12/rec_final_2/output/overall_stats.dat,input/poses/rec_2_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_2,4.377247937583994,4.313266666666668,1.7970380783081055,4.013609454150284,
mol12,rec_final_12,-4.741,2.275,output/abfe/mol12/rec_final_12/output/overall_stats.dat,input/poses/rec_12_mol12.sdf,output/abfe/mol12,output/abfe/mol12/rec_final_12,4.377859752826336,6.263266666666668,3.7706246376037598,6.270242357447604,
mol13,rec_final_19,-25.721,4.363,output/abfe/mol13/rec_final_19/output/overall_stats.dat,input/poses/rec_19_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_19,2.789004821758018,-8.6296,1.2188127040863037,2.2229468745381786,
mol13,rec_final_20,-24.41,4.776,output/abfe/mol13/rec_final_20/output/overall_stats.dat,input/poses/rec_20_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_20,1.812244693017039,-7.3186,1.4831271171569824,1.3988011785272139,
mol13,rec_final_1,-23.288,3.494,output/abfe/mol13/rec_final_1/output/overall_stats.dat,input/poses/rec_1_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_1,2.155961724833576,-6.1966,1.772736668586731,2.078787703896354,
mol13,rec_final_14,-22.781,2.464,output/abfe/mol13/rec_final_14/output/overall_stats.dat,input/poses/rec_14_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_14,1.777346964616526,-5.689599999999999,1.582224726676941,2.4548974430611428,
mol13,rec_final_2,-22.082,2.042,output/abfe/mol13/rec_final_2/output/overall_stats.dat,input/poses/rec_2_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_2,1.6060213215468708,-4.990600000000001,1.2370661497116089,2.3739529049023,
mol13,rec_final_15,-20.154,1.659,output/abfe/mol13/rec_final_15/output/overall_stats.dat,input/poses/rec_15_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_15,1.61471737334726,-3.0625999999999998,0.953019917011261,1.5280214963615746,
mol13,rec_final_16,-19.371,4.214,output/abfe/mol13/rec_final_16/output/overall_stats.dat,input/poses/rec_16_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_16,1.2596284293393827,-2.2795999999999985,1.3331371545791626,1.0792269527440788,
mol13,rec_final_4,-17.38,5.907,output/abfe/mol13/rec_final_4/output/overall_stats.dat,input/poses/rec_4_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_4,1.8259751399126294,-0.28859999999999886,1.314235806465149,1.640391799270794,
mol13,rec_final_5,-16.128,1.558,output/abfe/mol13/rec_final_5/output/overall_stats.dat,input/poses/rec_5_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_5,6.432601395359341,0.9634,1.475176215171814,6.517705690579144,
mol13,rec_final_6,-15.411,2.082,output/abfe/mol13/rec_final_6/output/overall_stats.dat,input/poses/rec_6_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_6,6.431843089454874,1.6804000000000006,0.9979340434074402,6.481998855480956,
mol13,rec_final_9,-14.711,2.357,output/abfe/mol13/rec_final_9/output/overall_stats.dat,input/poses/rec_9_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_9,6.42685910485707,2.3804,1.5558545589447021,6.306098593994076,
mol13,rec_final_7,-11.644,5.677,output/abfe/mol13/rec_final_7/output/overall_stats.dat,input/poses/rec_7_mol13.sdf,output/abfe/mol13,output/abfe/mol13/rec_final_7,6.310977306583389,5.4474,2.378178119659424,6.289562131737516,
